Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
15.80495363313215,9.7878048869389177e-18,0.0,0.0,0.0,0.069267539752822155,0.71536623012357992,3.7247834031404102e-14,0.2153662301235599,8.4413397832757598e-16
15.997037629035411,9.7878048869389069e-18,0.0,0.0,0.0,0.067623642062660499,0.71618817896866027,3.829825063009359e-14,0.21618817896863993,8.4638314536232498e-16
16.18912162493867,9.787804886938893e-18,0.0,0.0,0.0,0.06601877687347088,0.71699061156325483,3.9374190042830809e-14,0.2169906115632339,8.4857393104982091e-16
16.381205620841932,9.7878048869388838e-18,0.0,0.0,0.0,0.064452017837688794,0.71777399108114559,4.0476271609098852e-14,0.21777399108112416,8.5070797240857915e-16
16.573289616745193,9.7878048869388715e-18,0.0,0.0,0.0,0.062922460713798617,0.71853876964309038,4.1605127547574443e-14,0.2185387696430684,8.5278686020604768e-16
16.765373612648453,9.7878048869388622e-18,0.0,0.0,0.0,0.061429222409369509,0.71928538879530479,4.2761406012055882e-14,0.21928538879528214,8.5481211996855728e-16
16.957457608551714,9.7878048869388499e-18,0.0,0.0,0.0,0.059971441318779108,0.72001427934059981,4.3945777854474797e-14,0.22001427934057638,8.5678521893834649e-16
17.149541604454974,9.787804886938836e-18,0.0,0.0,0.0,0.058548276098742864,0.7207258619506175,4.5158926630210329e-14,0.22072586195059354,8.5870763534562583e-16
17.341625600358235,9.7878048869388252e-18,0.0,0.0,0.0,0.057158905228760395,0.72142054738560846,4.6401536283066723e-14,0.22142054738558384,8.6058078511258123e-16
17.533709596261495,9.7878048869388129e-18,0.0,0.0,0.0,0.05580252655339734,0.72209873672328972,4.7674307168063232e-14,0.22209873672326441,8.6240590382475482e-16
17.81393563677227,9.787804886938796e-18,0.0,0.0,0.0,0.053881303183127401,0.72305934840842412,4.9586818488161509e-14,0.22305934840839797,8.6498523409312772e-16
18.094161677283047,9.7878048869387759e-18,0.0,0.0,0.0,0.052026274906000189,0.72398686254698741,5.1567652093264129e-14,0.22398686254696007,8.6746930054079571e-16
